childgender,childage,enrolled,momage,mauza,momeduc,schoolpresent7,birth_tehsil,child_edu_time
1,8,1,28,331310702003,1,1,9998,180
2,15,1,38,331310702003,1,1,3313,360
1,10,1,38,331310702003,1,1,3313,240
1,7,1,38,331310702003,1,1,3313,180
1,12,1,35,331310702003,0,1,9998,240
2,15,1,35,331310702003,0,1,9998,360
1,9,1,35,331310702003,0,1,9998,180
2,7,1,35,331310702003,0,1,9998,180
2,10,1,35,331310702003,0,1,9998,180
1,5,0,35,331310702003,0,1,9998,0
2,8,1,30,331310702003,0,1,9995,240
2,11,1,30,331310702003,0,1,9995,300
1,13,1,35,331310702003,1,1,3313,240
2,10,1,35,331310702003,1,1,3313,120
1,11,1,35,331310702003,1,1,3313,240
2,11,1,38,331310702003,0,1,3313,240
2,15,1,38,331310702003,0,1,3313,300
2,9,1,38,331310702003,0,1,3313,240
1,11,1,32,331310702003,0,1,9998,240
1,5,0,32,331310702003,0,1,9998,0
1,6,1,32,331310702003,0,1,9998,240
1,8,1,44,331310702003,0,0,3542,120
2,11,1,44,331310702003,0,0,3542,180
2,10,1,44,331310702003,0,0,3542,120
2,13,0,44,331310702003,0,0,3542,0
2,8,1,43,331310702003,0,0,3313,120
1,13,1,43,331310702003,0,0,3313,180
2,6,1,43,331310702003,0,0,3313,120
2,10,1,42,331310702003,0,0,3331,180
2,8,1,42,331310702003,0,0,3331,180
1,14,1,42,331310702003,0,0,3331,180
2,12,1,42,331310702003,0,0,3331,180
2,7,1,42,331310702003,0,0,3331,180
2,11,1,42,331310702003,0,0,3331,180
1,15,1,48,331510201001,0,1,3315,150
1,12,0,48,331510201001,0,1,9998,0
1,10,0,48,331510201001,0,1,9998,0
1,9,1,50,331510201001,0,0,3314,270
1,12,1,50,331510201001,0,0,3314,300
1,8,1,32,331310505003,0,1,3313,90
2,10,1,32,331310505003,0,1,3313,90
1,12,1,32,331310505003,0,1,3313,210
2,6,1,40,331310605001,0,1,3313,180
1,12,0,40,331310605001,0,1,3313,0
2,14,0,40,331310605001,0,1,3313,0
2,10,0,40,331310605001,0,1,3313,0
2,10,1,47,331310605001,0,1,3313,60
1,5,1,47,331310605001,0,1,3313,60
1,12,1,47,331310605001,0,1,3313,60
1,8,1,30,331310703003,1,1,3313,240
2,5,1,30,331310703003,1,1,3313,180
2,11,1,38,331310703003,1,1,9996,150
2,14,1,38,331310703003,1,1,9996,240
1,8,1,38,331310703003,1,1,9996,150
1,10,1,38,331310703003,1,1,9996,150
2,15,1,38,331310703003,1,1,9996,330
2,5,0,31,331310703003,1,1,3313,0
2,6,1,31,331310703003,1,1,3313,120
1,13,1,45,331310703003,0,1,9997,240
1,14,1,45,331310703003,0,1,9997,240
2,12,0,45,331310703003,0,1,9997,0
1,9,0,32,331310703003,0,0,3331,0
1,5,1,32,331310703003,0,0,3331,180
1,7,0,30,331310605001,0,1,3313,0
1,12,1,30,331310605001,0,1,3313,60
1,7,1,36,331310605001,1,1,3313,180
1,14,1,36,331310605001,1,1,3313,150
2,12,1,36,331310605001,1,1,3313,150
1,8,1,36,331310605001,1,1,3313,120
1,13,1,44,331310605001,0,0,3652,120
1,11,1,44,331310605001,0,0,3652,120
1,15,1,44,331310605001,0,0,3652,120
2,7,1,44,331310605001,0,0,3652,90
2,9,1,44,331310605001,0,0,3652,120
2,5,1,23,331310605001,0,0,3544,180
2,9,1,45,331310605001,0,1,3314,60
1,10,1,45,331310605001,0,1,3314,60
1,12,1,43,331310605001,0,1,3315,180
2,10,0,43,331310605001,0,1,3315,0
2,11,1,33,331310605001,0,0,3331,180
2,9,1,33,331310605001,0,0,3331,180
1,10,1,35,331310605001,0,1,3313,180
1,7,1,35,331310605001,0,1,3313,180
2,7,1,35,331310605001,0,0,3843,180
2,5,1,36,331310605001,0,0,3313,75
2,12,0,36,331310605001,0,0,3313,0
1,14,0,36,331310605001,0,0,3313,0
2,8,1,36,331310605001,0,0,3313,75
1,9,1,38,331310605001,0,0,3313,60
1,13,1,38,331310605001,0,0,3313,180
2,5,0,38,331310605001,0,0,3313,0
1,7,1,38,331310605001,0,0,3313,60
1,14,1,38,331310605001,0,0,3313,150
2,10,1,38,331310605001,0,0,3313,120
1,13,0,51,331310305003,0,1,3313,0
2,6,0,23,331310305003,0,1,3313,0
1,13,0,35,331310305003,0,1,3542,0
1,6,1,35,331310305003,0,1,3542,120
1,7,1,35,331310305003,0,1,3542,120
2,8,1,29,331310305003,1,1,3315,180
1,5,0,29,331310305003,1,1,3315,150
2,7,1,29,331310305003,1,1,3315,180
1,6,0,30,331310305003,0,1,3313,0
2,9,0,30,331310305003,0,1,3313,0
1,10,1,40,331310305003,1,0,3313,90
1,13,1,40,331310305003,1,0,3313,330
2,14,1,40,331310305003,0,0,3313,240
1,11,1,40,331310305003,0,0,3313,180
1,12,1,40,331310305003,0,0,3313,120
2,8,1,40,331310305003,0,0,3313,180
2,5,0,35,331310305003,0,1,3313,60
1,13,1,35,331310305003,0,1,3313,60
2,10,1,35,331310305003,0,1,3313,120
1,7,1,35,331310305003,0,1,3533,180
2,5,0,35,331310305003,0,1,3533,0
2,10,1,35,331310305003,0,1,3533,180
1,8,1,35,331310305003,0,1,3533,180
2,7,1,35,331310305003,0,1,3313,180
2,13,1,35,331310305003,0,1,3313,180
1,5,1,35,331310305003,0,1,3313,60
1,10,1,35,331310305003,1,1,3315,240
1,14,1,35,331310305003,1,1,3315,240
2,12,1,35,331310305003,1,1,3315,240
2,8,1,32,331310305003,0,1,3313,150
2,6,1,32,331310305003,0,1,3313,300
2,12,1,43,331310305003,0,0,3314,300
1,10,1,43,331310305003,0,0,3314,300
2,14,1,43,331310305003,0,0,3314,180
2,11,1,28,331310305003,1,1,3314,120
1,9,1,28,331310305003,1,1,3314,120
1,6,1,28,331310305003,1,1,3314,120
1,15,0,31,331310305003,0,1,3313,0
1,9,1,31,331310305003,0,1,3313,180
2,8,1,31,331310305003,0,1,3313,135
2,6,1,45,371110202001,0,1,3711,60
2,12,1,45,371110202001,0,1,3711,120
2,8,1,45,371110202001,0,1,3711,60
2,10,1,35,371110202001,0,1,3711,60
1,7,1,32,371110202001,0,1,3711,120
1,11,1,32,371110202001,0,1,3711,120
1,9,1,32,371110202001,0,1,3711,120
1,8,1,30,371110202001,0,1,9995,60
1,9,1,30,371110202001,0,1,9995,60
1,6,1,30,371110202001,0,1,9995,60
1,7,1,30,371110202001,0,1,9995,60
2,12,0,35,371110202001,0,1,3711,0
2,10,1,35,371110202001,0,1,3711,180
2,8,1,35,371110202001,0,1,3711,180
2,13,0,35,371110202001,0,1,3711,0
2,7,1,35,371110202001,0,1,3711,180
1,15,0,36,371110202001,1,1,9996,0
2,11,1,36,371110202001,1,1,9996,180
2,12,1,36,371110202001,1,1,9996,180
1,10,1,36,371110202001,1,1,9996,180
2,12,1,41,371110202001,0,1,3711,180
2,8,1,41,371110202001,0,1,3711,180
2,15,1,41,371110202001,0,1,3711,180
2,10,1,41,371110202001,0,1,3711,180
2,5,0,30,331110102001,0,0,3313,0
