age,salary,hours,weeks,educ,immigrant,test_score
25,19481,50,52,13,0,-1.1002823
25,33000,42,52,16,1,-.11642318
25,50000,40,52,15,0,1.357378
25,25000,40,52,12,0,.59193844
25,13000,50,52,12,1,-1.1797512
25,10000,40,52,15,1,-1.3705382
25,30600,50,52,16,1,1.2550801
25,3800,25,52,14,1,-1.096526
25,25000,50,20,13,0,1.7565051
25,16000,40,50,12,0,-1.5264323
25,35000,40,52,16,0,.54077792
26,4680,15,52,12,1,.54092675
26,900,40,12,8,1,.41945669
26,17794,50,52,13,0,-1.7365576
26,22000,40,40,16,1,-.68061417
26,22350,40,52,8,0,.039296329
26,3300,40,26,13,1,-.81251842
26,14500,28,52,13,1,.26957846
26,25000,40,52,12,0,-1.0258722
26,15100,8,44,19,1,1.968482
26,8400,40,32,12,1,-1.3372118
26,20000,45,52,16,0,-1.709965
26,4700,60,52,15,1,-1.3604922
26,17000,40,52,13,1,.2407203
26,10000,70,52,16,0,.56749338
26,22000,40,52,16,1,.90067166
26,6811,32,52,12,1,.7062214
26,20000,40,52,12,0,.45528296
26,4200,40,20,13,0,-.42975184
26,24000,42,52,13,0,-.44221085
26,7140,12,37,5,0,1.1585793
27,11500,40,52,7,0,-1.1153078
27,20800,40,52,12,0,.40903991
27,3000,24,52,9,1,.22325498
27,9100,35,52,16,1,.68689686
27,3712,12,37,16,1,.41270819
27,11000,20,52,15,1,-.39069447
27,1600,15,12,16,0,.93024778
27,25000,44,52,12,0,.17297782
27,18000,40,52,12,1,.69515139
27,3000,20,18,16,1,-.2321595
27,24000,55,52,14,0,-1.3195765
27,15600,40,52,13,1,.70617259
27,27000,40,52,12,0,-.49649355
27,50000,45,52,13,0,.67429441
27,15500,44,52,16,0,-.8847509
27,16000,48,52,9,1,.24651232
27,27000,45,52,16,1,.94566613
27,34000,40,52,16,1,-.030677449
27,20000,40,52,12,0,-1.34919
27,15000,44,52,16,0,.90054905
27,26400,40,52,12,0,-1.1176729
27,42000,40,52,16,1,1.4208544
27,23500,40,52,16,1,-.66271263
27,7100,40,32,9,0,.73015392
27,3720,40,12,17,0,.24805427
28,25000,40,52,12,1,-.80820495
28,4000,40,52,15,1,-.78429765
