ccode,year,country_name,country_code,GPCP,GPCP_l,GPCP_l2,GPCP_g,GPCP_g_l,GPCP_g_fl,GPCP_d,GPCP_d_l,GPCP_df_mean,GPCP_df_mean_l,GPCP_df_mean_l2,NCEP,NCEP_l,NCEP_l2,NCEP_g,NCEP_g_l,NCEP_g_fl,NCEP_d,NCEP_d_l,NCEP_df_mean,NCEP_df_mean_l,NCEP_df_mean_l2,sm_obs,FAO,FAO_l,FAO_l2,FAO_g,FAO_g_l,FAO_g_fl,FAO_d,FAO_d_l,FAO_df_mean,FAO_df_mean_l,FAO_df_mean_l2,NDVI,NDVI_l,NDVI_l2,NDVI_g,NDVI_g_l,NDVI_g_fl,NDVI_d,NDVI_d_l,NDVI_df_mean,NDVI_df_mean_l,NDVI_df_mean_l2,type3,type4,war_prio,minor_prio,any_prio,war_prio_on,minor_prio_on,any_prio_on,war_prio_off,minor_prio_off,any_prio_off,wars,war,warl,onset,ended,waryrs,pop,lpop,polity2,gdpen,gdpenl,lgdpenl1,lpopl1,colbrit,colfra,mtnest,lmtnest,Oil,ncontig,ethfrac,ef,relfrac,nwstate,polity2l,instab,deml,sdwars,sdonset,colwars,colonset,cowwars,cowonset,cowwarl,sdwarl,colwarl,gdp_g,gdp_g_l,y_0,polity2l_6,war_col,warstds,war_on,war_inc,tot_100,tot_100_l,tot_100_g,tot_adj,trade_pGDP,trade_goods_pGDP,trade_goods_pgoodsGDP,mil_exp,mil_pers,unemploy,roads_net,tax_rev_p,tax_rev,male_school,male_school_net,pop_den,pop_den_rur,aid_capita,gini,income_4th20,income_1st10,income_1st20,income_10th10,income_5th20,income_2th20,income_3rd20,land_arable,land_crop,land_forest,land_crop_irrig,land_other,va_agr,va_ind_manf,va_ind_tot,va_serv,pop_0014_fem,pop_0014_male,pop_0014_tot,pop_0014_ptot,pop_1564_fem,pop_1564_ptot,pop_1564_male,pop_1564_tot,pop_65up_fem,pop_65up_male,pop_65up_fem_pmale,pop_65up_tot,pop_65up_ptot,pov_head_nat,pov_head_rur,pov_head_urb,pop_rur_ptot,pop_tot,pop_1524_male,per_0014,per_1524,fao_foodaid,ethnic,language,religion,democ,autoc,polity,polity2_IV,durable,xrreg,xrcomp,xropen,xconst,parreg,parcomp,exrec,exconst,polcomp,military,execrlc,execnat,execrurl,execreg,execrel,execage,allhouse,herfgov,herfopp,oppfrac,checks,auton,muni,state,author,stconst,fh_civ,fh_pol,S,W,WoverS,soc,location,any_prio_nar,war_prio_nar
404,1981,Guinea-Bissau,GNB,1339.057861328125,1143.8641357421875,1202.5526123046875,0.170644149184227,-0.04880325123667717,0.023161817342042923,195.1937255859375,-58.6884765625,-86.6199951171875,-281.813720703125,-223.125244140625,1354.699951171875,1112.949951171875,1188.6199951171875,0.21721552312374115,-0.0636620968580246,-0.14550083875656128,241.75,-75.6700439453125,117.296875,-124.453125,-48.7830810546875,48,1679.25,1347.3333740234375,1391,0.24635078012943268,-0.03139225393533707,-0.11121028661727905,331.9166259765625,-43.6666259765625,83.7774658203125,-248.13916015625,-204.4725341796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,,824,6.714170455932617,-7,0.5730000138282776,0.47099998593330383,6.154858112335205,6.695798873901367,0,0,0,0,0,0,0.8037569522857666,0.8177000284194946,0.5449999570846558,0,-7,0,0,0,0,0,0,0,0,0,0,0,0.21656057238578796,-0.15287771821022034,0.5559999942779541,0,0,0,0,0,163.48,122.66999816894531,0.33268120884895325,-12827190,46.91172791,64.6279068,88.88426208,NA,NA,NA,NA,NA,NA,NA,NA,27.63193512,250.3362885,83.962883,NA,NA,NA,NA,NA,NA,NA,NA,9.13940239,1.066856384,NA,5.923345089,89.79373932,53.27753448,NA,17.21346664,29.50900078,161111,159568,320679,41.27089691,218740,55.24922562,210552,429292,15967,12790,124.8397217,28757,3.700981855,NA,NA,NA,82.80000305,777010,NA,0.20536157488822937,NA,48190,0.8082000017166138,0.8141000270843506,0.6128000020980835,0,7,-7,-7,7,2,1,4,3,4,1,3,3,1,1,NA,1,0,0,0,25,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0.166666667,0.166666667,0,0.25,0.3257208466529846,0,0,0,0
404,1982,Guinea-Bissau,GNB,1370.0728759765625,1339.057861328125,1143.8641357421875,0.023161817342042923,0.170644149184227,-0.215036541223526,31.0150146484375,195.1937255859375,-55.60498046875,-86.6199951171875,-281.813720703125,1157.5899658203125,1354.699951171875,1112.949951171875,-0.14550083875656128,0.21721552312374115,-0.0314532034099102,-197.1099853515625,241.75,-79.8131103515625,117.296875,-124.453125,35,1492.5001220703125,1679.25,1347.3333740234375,-0.11121028661727905,0.24635078012943268,-0.06599681079387665,-186.7498779296875,331.9166259765625,-102.972412109375,83.7774658203125,-248.13916015625,3693,NA,NA,NA,NA,0.011779041029512882,NA,NA,-353.75,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,,839,6.732210636138916,-7,0.6330000162124634,0.5730000138282776,6.35088586807251,6.714170455932617,0,0,0,0,0,0,0.8037569522857666,0.8177000284194946,0.5449999570846558,0,-7,0,0,0,0,0,0,0,0,0,0,0,0.10471204668283463,0.21656057238578796,0.5559999942779541,0,0,0,0,0,153.59,163.47999572753906,-0.06049667298793793,-14069998,49.12541199,60.41433334,98.74688721,NA,NA,NA,NA,NA,NA,NA,NA,28.13940239,241.7799988,82.34758759,NA,NA,NA,NA,NA,NA,NA,NA,9.601706505,1.066856384,NA,5.666666508,89.33143616,46.76550674,NA,14.41066837,38.82382202,164849,163346,328195,41.47646713,222757,55.24403381,214378,437135,16350,13105,124.7615433,29455,3.72244978,NA,NA,NA,82.5,791280,NA,0.20643261075019836,NA,60063,0.8082000017166138,0.8141000270843506,0.6128000020980835,0,7,-7,-7,8,2,1,4,3,4,1,3,3,1,1,NA,1,0,0,0,26,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0.166666667,0.166666667,0,0.25,0.3257208466529846,0,0,0,0
404,1983,Guinea-Bissau,GNB,1075.4571533203125,1370.0728759765625,1339.057861328125,-0.215036541223526,0.023161817342042923,0.09845955669879913,-294.61572265625,31.0150146484375,-350.220703125,-55.60498046875,-86.6199951171875,1121.1800537109375,1157.5899658203125,1354.699951171875,-0.0314532034099102,-0.14550083875656128,-0.028398727998137474,-36.409912109375,-197.1099853515625,-116.2230224609375,-79.8131103515625,117.296875,36,1393.9998779296875,1492.5001220703125,1679.25,-0.06599681079387665,-0.11121028661727905,-0.169775128364563,-98.500244140625,-186.7498779296875,-201.47265625,-102.972412109375,83.7774658203125,3736.5,3693,NA,0.011779041029512882,NA,-0.14291448891162872,43.5,NA,-310.25,-353.75,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,,854,6.749931335449219,-7,0.6060000061988831,0.6330000162124634,6.450470447540283,6.732210636138916,0,0,0,0,0,0,0.8037569522857666,0.8177000284194946,0.5449999570846558,0,-7,0,0,0,0,0,0,0,0,0,0,0,-0.042654044926166534,0.10471204668283463,0.5559999942779541,0,0,0,0,0,157.21,153.58999633789063,0.023569267243146896,-12426503,38.26285934,67.24640656,124.7199173,NA,NA,NA,NA,8.914808273,13169230,NA,NA,28.65647316,236.5657349,79.72003937,NA,NA,NA,NA,NA,NA,NA,NA,9.957325935,1.066856384,NA,5.483870983,88.97581482,42.45000076,NA,11.45833302,46.09166718,168673,167214,335887,41.68263245,226847,55.23814392,218273,445120,16742,13428,124.6797714,30170,3.744012356,NA,NA,NA,82.19999695,805820,NA,0.2075078785419464,NA,25885,0.8082000017166138,0.8141000270843506,0.6128000020980835,0,7,-7,-7,9,2,1,4,3,4,1,3,3,1,1,NA,1,0,0,0,27,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0.166666667,0,0,0.25,0.3257208466529846,0,0,0,0
404,1984,Guinea-Bissau,GNB,1181.34619140625,1075.4571533203125,1370.0728759765625,0.09845955669879913,-0.215036541223526,0.018551833927631378,105.8890380859375,-294.61572265625,-244.3316650390625,-350.220703125,-55.60498046875,1089.3399658203125,1121.1800537109375,1157.5899658203125,-0.028398727998137474,-0.0314532034099102,0.08091139048337936,-31.840087890625,-36.409912109375,-148.0631103515625,-116.2230224609375,-79.8131103515625,35,1157.3333740234375,1393.9998779296875,1492.5001220703125,-0.169775128364563,-0.06599681079387665,0.12528790533542633,-236.66650390625,-98.500244140625,-438.13916015625,-201.47265625,-102.972412109375,3202.5,3736.5,3693,-0.14291448891162872,0.011779041029512882,0.17845433950424194,-534,43.5,-844.25,-310.25,-353.75,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,,870,6.768493175506592,-8,0.6269999742507935,0.6060000061988831,6.406879901885986,6.749931335449219,0,0,0,0,0,0,0.8037569522857666,0.8177000284194946,0.5449999570846558,0,-7,0,0,0,0,0,0,0,0,0,0,0,0.03465341404080391,-0.042654044926166534,0.5559999942779541,0,0,0,0,0,261.86,157.2100067138672,0.6656700372695923,12792649,64.68263245,69.324646,124.4861832,NA,NA,NA,NA,7.42514801,19076920,NA,NA,29.18278885,235.8202667,67.29058838,NA,NA,NA,NA,NA,NA,NA,NA,10.1351347,1.066856384,NA,5.396825314,88.79801178,41.31736374,NA,14.37125778,44.31137848,172586,171174,343760,41.89027786,231013,55.23287201,222239,453252,17143,13758,124.6038666,30901,3.765567541,NA,NA,NA,81.90000153,820620,NA,0.2085910588502884,NA,38299,0.8082000017166138,0.8141000270843506,0.6128000020980835,0,8,-8,-8,10,2,1,4,2,4,1,3,2,1,1,NA,1,0,0,0,28,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0.166666667,0.166666667,1,0.5,0.5007122755050659,0,0,0,0
404,1985,Guinea-Bissau,GNB,1203.2623291015625,1181.34619140625,1075.4571533203125,0.018551833927631378,0.09845955669879913,0.054580722004175186,21.9161376953125,105.8890380859375,-222.41552734375,-244.3316650390625,-350.220703125,1177.47998046875,1089.3399658203125,1121.1800537109375,0.08091139048337936,-0.028398727998137474,-0.15041443705558777,88.1400146484375,-31.840087890625,-59.923095703125,-148.0631103515625,-116.2230224609375,36,1302.333251953125,1157.3333740234375,1393.9998779296875,0.12528790533542633,-0.169775128364563,0.0517021082341671,144.9998779296875,-236.66650390625,-293.1392822265625,-438.13916015625,-201.47265625,3774,3202.5,3736.5,0.17845433950424194,-0.14291448891162872,0.11512983590364456,571.5,-534,-272.75,-844.25,-310.25,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,,886,6.786716938018799,-8,0.6499999761581421,0.6269999742507935,6.440946578979492,6.768493175506592,0,0,0,0,0,0,0.8037569522857666,0.8177000284194946,0.5449999570846558,0,-8,0,0,0,0,0,0,0,0,0,0,0,0.0366826206445694,0.03465341404080391,0.5559999942779541,0,0,0,0,0,241.56,261.8599853515625,-0.07752228528261185,5671959.5,67.46752167,83.41660309,158.9798737,NA,NA,NA,NA,8.463309288,29969230,14.04533768,NA,30.04978752,237.7655182,68.33135986,NA,NA,NA,NA,NA,NA,NA,NA,10.31294441,1.066856384,NA,5.3125,88.62020111,42.39302826,NA,14.26307487,43.34389877,176590,175227,351817,41.63514709,235255,54.61905289,226276,461531,17554,14097,124.5229492,31651,3.745680571,NA,NA,NA,81.59999847,845000,176954.53125,0.20736923813819885,0.20941364765167236,17898,0.8082000017166138,0.8141000270843506,0.6128000020980835,0,8,-8,-8,11,2,1,4,2,4,1,3,2,1,1,NA,1,0,0,0,11,1,1,NA,NA,1,0,NA,NA,NA,NA,0.166666667,0.166666667,1,0.5,0.5007122755050659,0,0,0,0
404,1986,Guinea-Bissau,GNB,1268.937255859375,1203.2623291015625,1181.34619140625,0.054580722004175186,0.018551833927631378,0.20524469017982483,65.6749267578125,21.9161376953125,-156.7406005859375,-222.41552734375,-244.3316650390625,1000.3699951171875,1177.47998046875,1089.3399658203125,-0.15041443705558777,0.08091139048337936,0.3750012516975403,-177.1099853515625,88.1400146484375,-237.0330810546875,-59.923095703125,-148.0631103515625,36,1369.6666259765625,1302.333251953125,1157.3333740234375,0.0517021082341671,0.12528790533542633,0.06230229511857033,67.3333740234375,144.9998779296875,-225.805908203125,-293.1392822265625,-438.13916015625,4208.5,3774,3202.5,0.11512983590364456,0.17845433950424194,-0.07568017393350601,434.5,571.5,161.75,-272.75,-844.25,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,,903,6.805722713470459,-8,0.6269999742507935,0.6499999761581421,6.476972579956055,6.786716938018799,0,0,0,0,0,0,0.8037569522857666,0.8177000284194946,0.5449999570846558,0,-8,0,0,0,0,0,0,0,0,0,0,0,-0.03538462147116661,0.0366826206445694,0.5559999942779541,0,0,0,0,0,207.73,241.55999755859375,-0.14004801213741302,NA,37.07032776,92.14818573,141.593689,NA,NA,NA,NA,4.591363907,34338460,NA,NA,30.8737545,235.2161865,81.7696991,NA,NA,NA,NA,NA,NA,NA,NA,10.66856289,1.244665742,NA,5.074626923,88.0867691,45.26131821,14.41563797,19.80864143,34.93003845,181231,179886,361117,41.59519577,240008,54.23304367,230827,470835,17931,14398,124.5381317,32329,3.723809958,NA,NA,NA,81.27999878,868170,NA,0.20720136165618896,NA,12820,0.8082000017166138,0.8141000270843506,0.6128000020980835,0,8,-8,-8,12,2,1,4,2,4,1,3,2,1,1,NA,1,0,0,0,12,1,1,NA,NA,1,0,NA,NA,NA,NA,0,0.166666667,1,0.5,0.5007122755050659,0,0,0,0
404,1987,Guinea-Bissau,GNB,1529.3798828125,1268.937255859375,1203.2623291015625,0.20524469017982483,0.054580722004175186,0.09690031409263611,260.442626953125,65.6749267578125,103.7020263671875,-156.7406005859375,-222.41552734375,1375.510009765625,1000.3699951171875,1177.47998046875,0.3750012516975403,-0.15041443705558777,0.14015167951583862,375.1400146484375,-177.1099853515625,138.10693359375,-237.0330810546875,-59.923095703125,72,1455,1369.6666259765625,1302.333251953125,0.06230229511857033,0.0517021082341671,0.06426125019788742,85.3333740234375,67.3333740234375,-140.4725341796875,-225.805908203125,-293.1392822265625,3890,4208.5,3774,-0.07568017393350601,0.11512983590364456,-0.02827763557434082,-318.5,434.5,-156.75,161.75,-272.75,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,,921,6.825459957122803,-8,0.6269999742507935,0.6269999742507935,6.440946578979492,6.805722713470459,0,0,0,0,0,0,0.8037569522857666,0.8177000284194946,0.5449999570846558,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,-0.03538462147116661,0.5559999942779541,0,0,0,0,0,199.58,207.72999572753906,-0.039233602583408356,-1821616.375,50.32315826,80.53546143,110.5429916,NA,NA,NA,NA,8.045196533,120276896,NA,NA,31.64936066,240.1759338,126.7668915,NA,NA,NA,NA,NA,NA,NA,NA,10.66856289,1.244665742,NA,5.074626923,88.0867691,57.56832504,8.503832817,13.22683144,29.20484352,185995,184669,370664,41.64857483,244857,53.97053909,235470,480327,18317,14705,124.5630722,33022,3.71042037,NA,NA,NA,80.95999908,889980,NA,0.20749792456626892,NA,17110,0.8082000017166138,0.8141000270843506,0.6128000020980835,0,8,-8,-8,13,2,1,4,2,4,1,3,2,1,1,NA,1,0,0,0,13,1,1,NA,NA,1,0,NA,NA,NA,NA,0,0.166666667,1,0.5,0.5007122755050659,0,0,0,0
404,1988,Guinea-Bissau,GNB,1677.5772705078125,1529.3798828125,1268.937255859375,0.09690031409263611,0.20524469017982483,-0.010923752561211586,148.1973876953125,260.442626953125,251.8994140625,103.7020263671875,-156.7406005859375,1568.2900390625,1375.510009765625,1000.3699951171875,0.14015167951583862,0.3750012516975403,0.015826119109988213,192.780029296875,375.1400146484375,330.886962890625,138.10693359375,-237.0330810546875,144,1548.5001220703125,1455,1369.6666259765625,0.06426125019788742,0.06230229511857033,0.0979442149400711,93.5001220703125,85.3333740234375,-46.972412109375,-140.4725341796875,-225.805908203125,3780,3890,4208.5,-0.02827763557434082,-0.07568017393350601,0.1298941820859909,-110,-318.5,-266.75,-156.75,161.75,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,,939,6.844815254211426,-8,0.6539999842643738,0.6269999742507935,6.440946578979492,6.825459957122803,0,0,0,0,0,0,0.8037569522857666,0.8177000284194946,0.5449999570846558,0,-8,0,0,0,0,0,0,0,0,0,0,0,0.04306221753358841,0,0.5559999942779541,0,0,0,0,0,151.61,199.5800018310547,-0.2403547465801239,-15727366,63.60909271,80.263839720000007,107.610611,NA,NA,NA,NA,8.898618698,249846208,NA,NA,32.37197876,244.6886444,112.6771393,NA,NA,NA,NA,NA,NA,NA,NA,10.66856289,1.244665742,NA,5.074626923,88.0867691,58.13395309,6.459197044,14.50088882,27.36515808,190883,189579,380462,41.79523087,249805,53.82961655,240206,490011,18711,15018,124.5904922,33729,3.705261946,NA,NA,NA,80.63999939,910300,NA,0.20825991034507751,NA,2423,0.8082000017166138,0.8141000270843506,0.6128000020980835,0,8,-8,-8,14,2,1,4,2,4,1,3,2,1,1,NA,1,0,0,0,14,1,1,NA,NA,1,0,NA,NA,NA,NA,0,0.166666667,1,0.5,0.5007122755050659,0,0,0,0
404,1989,Guinea-Bissau,GNB,1659.2518310546875,1677.5772705078125,1529.3798828125,-0.010923752561211586,0.09690031409263611,-0.21970123052597046,-18.325439453125,148.1973876953125,233.573974609375,251.8994140625,103.7020263671875,1593.1099853515625,1568.2900390625,1375.510009765625,0.015826119109988213,0.14015167951583862,-0.34805506467819214,24.8199462890625,192.780029296875,355.7069091796875,330.886962890625,138.10693359375,159,1700.166748046875,1548.5001220703125,1455,0.0979442149400711,0.06426125019788742,-0.3089473247528076,151.6666259765625,93.5001220703125,104.6942138671875,-46.972412109375,-140.4725341796875,4271,3780,3890,0.1298941820859909,-0.02827763557434082,0.004799812566488981,491,-110,224.25,-266.75,-156.75,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,,959,6.865890979766846,-8,0.6980000138282776,0.6539999842643738,6.483107566833496,6.844815254211426,0,0,0,0,0,0,0.8037569522857666,0.8177000284194946,0.5449999570846558,0,-8,0,0,0,0,0,0,0,0,0,0,0,0.06727833300828934,0.04306221753358841,0.5559999942779541,0,0,0,0,0,158.46,151.61000061035156,0.04518171027302742,-12221054,55.08023453,64.74507904,95.17034912,4,10000,NA,NA,3.983984232,236476896,NA,NA,33.03769684,248.7296143,125.906868,NA,NA,NA,NA,NA,NA,NA,NA,10.66856289,1.244665742,NA,5.074626923,88.0867691,50.17133331,7.607102871,16.86577415,32.96289063,195900,194620,390520,42.03569412,254852,53.80820465,245037,499889,19113,15339,124.6039505,34452,3.708423853,NA,NA,NA,80.31999969,929020,NA,0.20948956906795502,NA,8046,0.8082000017166138,0.8141000270843506,0.6128000020980835,0,8,-8,-8,15,2,1,4,2,4,1,3,2,1,1,NA,1,0,0,0,15,1,1,NA,NA,1,0,NA,NA,NA,NA,0.166666667,0.166666667,1,0.5,0.5007122755050659,0,0,0,0
404,1990,Guinea-Bissau,GNB,1294.712158203125,1659.2518310546875,1677.5772705078125,-0.21970123052597046,-0.010923752561211586,0.17590197920799255,-364.5396728515625,-18.325439453125,-130.9656982421875,233.573974609375,251.8994140625,1038.6199951171875,1593.1099853515625,1568.2900390625,-0.34805506467819214,0.015826119109988213,0.46035122871398926,-554.489990234375,24.8199462890625,-198.7830810546875,355.7069091796875,330.886962890625,76,1174.90478515625,1700.166748046875,1548.5001220703125,-0.3089473247528076,0.0979442149400711,0.2387801557779312,-525.261962890625,151.6666259765625,-420.5677490234375,104.6942138671875,-46.972412109375,4291.5,4271,3780,0.004799812566488981,0.1298941820859909,-0.1276942789554596,20.5,491,244.75,224.25,-266.75,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,,980,6.887552738189697,-6,0.6890000104904175,0.6980000138282776,6.548219203948975,6.865890979766846,0,0,0,0,0,0,0.8037569522857666,0.8177000284194946,0.5449999570846558,0,-8,0,0,0,0,0,0,0,0,0,0,0,-0.012893986888229847,0.06727833300828934,0.5559999942779541,0,0,0,0,0,142.98,158.4600067138672,-0.09769030660390854,-21140406,46.97050095,55.74647141,69.06659698,NA,12000,NA,4100,NA,NA,12.75771809,NA,33.64153671,252.2666626,135.9513702,NA,NA,NA,NA,NA,NA,NA,NA,10.66856289,1.4224751,85.45519257,5,87.90895844,60.80318832,8.398457527,18.6009903,20.59582329,201049,199795,400844,42.37251663,260001,53.90771484,249966,509967,19524,15666,124.6265793,35190,3.71987319,NA,NA,NA,80,946000,199416.40625,0.2111997902393341,0.21079958975315094,5562,0.8082000017166138,0.8141000270843506,0.6128000020980835,0,6,-6,-6,16,2,1,4,3,4,2,3,3,2,1,NA,1,0,0,0,16,1,1,NA,NA,1,0,NA,NA,NA,NA,0.333333333,0.166666667,1,0.5,0.5007122755050659,0,0,0,0
