age,black,hispanic,income,single,married,yrs_educ,urban,male
20,0,0,809.25385,1,0,12,0,1
22,0,0,1818.4412,0,1,12,0,1
21,0,0,571.23804,0,1,12,0,0
23,1,0,1047.2698,1,0,12,1,0
18,0,1,925.40564,1,0,12,1,0
19,0,1,2618.1746,1,0,12,1,1
17,0,0,594.08759,1,0,9,1,1
20,0,0,1372.8756,0,1,12,1,1
23,0,0,761.6507,1,0,12,1,0
18,0,0,618.84125,1,0,12,1,0
21,0,0,1233.8741,1,0,16,1,0
20,0,0,285.61902,1,0,12,1,0
19,0,0,904.46014,1,0,12,1,1
22,0,0,792.11676,0,1,12,1,0
18,0,0,1904.1267,1,0,12,1,1
21,0,0,845.43231,1,0,12,1,0
20,1,0,666.44421,1,0,12,1,0
22,1,0,1193.8875,1,0,12,1,1
20,1,0,2307.8013,1,0,12,1,0
20,0,0,1190.0792,1,0,12,1,1
21,0,0,1075.8317,1,0,12,1,1
21,0,0,662.63599,0,1,12,1,0
19,0,0,877.80237,0,1,13,0,0
19,0,0,780.69189,1,0,12,1,1
20,0,0,731.18463,1,0,12,1,1
20,0,0,1837.4819,0,1,12,1,1
18,0,0,691.19806,1,0,12,1,0
19,0,0,934.92609,1,0,12,1,1
21,0,0,847.33649,0,1,12,1,1
19,0,0,1142.4761,1,0,12,1,1
20,0,0,767.3631,1,0,12,1,0
22,0,0,422.71616,1,0,15,1,1
22,0,0,548.38849,1,0,16,1,0
18,0,1,736.89691,1,0,12,1,0
20,0,0,666.44421,0,1,12,1,1
19,0,0,999.66638,1,0,12,1,1
18,0,0,790.2124,1,0,12,1,0
22,0,0,1647.0697,1,0,16,1,1
23,0,0,1555.6711,1,0,14,1,1
21,0,0,1094.8729,1,0,12,1,0
21,0,0,982.52917,1,0,13,1,1
21,0,0,856.85706,1,0,13,1,0
22,0,0,1713.7141,1,0,13,1,1
21,0,0,1142.4761,1,0,12,1,1
18,0,0,714.04755,1,0,12,1,0
22,0,0,889.22723,1,0,12,1,1
19,0,0,731.18463,1,0,12,1,1
21,0,0,750.22577,1,0,12,1,0
20,0,0,2538.2002,1,0,12,1,1
20,0,0,761.6507,1,0,12,1,0
19,0,0,799.73309,1,0,12,1,0
21,0,0,679.77307,1,0,12,1,1
20,0,0,952.06335,1,0,12,1,1
19,0,0,856.85706,0,1,12,0,1
22,0,0,595.99176,0,1,12,1,0
20,1,0,742.6095,1,0,12,0,0
22,0,0,952.06335,1,0,12,1,1
21,0,0,742.6095,0,1,12,1,0
19,0,0,714.04755,1,0,12,1,0
21,0,0,761.6507,1,0,12,1,1
20,0,0,1075.8317,1,0,12,1,1
21,0,0,1332.8884,1,0,12,1,1
21,0,0,856.85706,1,0,12,0,1
19,0,0,656.92371,1,0,12,1,0
21,0,0,807.34979,1,0,12,1,0
21,1,0,456.99042,1,0,13,1,0
20,0,0,609.32056,1,0,13,1,0
23,0,0,952.06335,1,0,9,1,1
19,0,0,973.00873,1,0,12,1,1
17,0,0,761.6507,1,0,8,0,1
22,0,0,628.36182,1,0,10,0,1
21,0,0,1047.2698,0,1,12,0,1
22,0,0,875.89825,1,0,11,1,1
23,0,0,1047.2698,1,0,12,1,1
23,0,0,1266.2439,0,1,12,1,0
19,0,1,1066.3108,0,1,12,1,0
22,0,1,1070.1193,0,1,11,1,1
16,0,1,468.41513,1,0,10,1,0
22,0,1,1028.2284,0,1,13,1,0
19,0,1,714.04755,1,0,10,1,1
20,0,1,761.6507,0,1,12,1,0
21,0,1,790.2124,0,1,11,1,0
21,0,0,952.06335,1,0,13,1,1
21,0,0,378.92123,1,0,16,1,0
20,0,0,675.96509,1,0,14,0,1
18,0,0,523.63489,1,0,12,1,1
18,0,0,590.27924,1,0,12,1,0
22,1,0,822.58276,1,0,12,1,1
19,1,0,832.10327,1,0,14,1,0
21,0,0,1327.1761,1,0,12,1,1
18,0,0,670.25262,1,0,12,1,0
20,0,0,809.25385,0,1,12,1,0
21,0,0,913.98083,1,0,13,1,1
21,0,0,590.27924,1,0,16,1,0
22,0,0,1728.9471,1,0,16,1,0
20,1,0,674.06091,1,0,12,1,1
18,0,0,877.80237,1,0,8,1,1
20,1,0,618.84125,1,0,13,1,0
19,1,0,561.71741,0,1,8,1,0
22,0,0,761.6507,0,1,8,1,0
22,0,0,856.85706,0,1,11,1,1
19,0,0,837.8158,1,0,12,0,1
19,0,0,590.27924,1,0,12,1,1
20,0,0,1096.777,0,1,12,1,1
21,0,0,481.74408,1,0,10,1,1
19,0,0,476.03168,1,0,12,1,1
21,0,0,1285.2856,1,0,15,1,0
22,0,0,832.10327,1,0,16,1,1
18,1,0,287.52304,1,0,12,1,0
18,0,0,761.6507,1,0,9,0,1
22,0,0,618.84125,1,0,8,0,1
22,0,0,843.52808,1,0,13,0,1
18,0,0,628.36182,0,1,12,0,0
18,0,0,666.44421,0,1,11,1,0
21,0,0,1734.6591,1,0,12,0,0
19,0,0,717.85577,1,0,12,0,0
22,0,0,870.18585,0,1,8,0,1
20,0,0,828.29504,0,1,9,0,1
18,0,0,571.23804,0,1,9,0,0
21,0,0,860.66528,1,0,12,1,1
21,0,0,607.41638,0,1,12,1,0
23,0,0,891.13141,1,0,12,1,1
22,0,0,835.9115,1,0,14,1,0
23,0,0,700.71863,1,0,12,1,0
21,0,0,887.32294,1,0,12,1,0
19,0,0,666.44421,1,0,12,1,1
19,0,0,856.85706,1,0,12,1,1
22,0,0,695.00635,0,1,7,0,0
21,0,0,856.85706,0,1,12,0,1
20,0,0,731.18463,0,1,12,0,0
17,0,0,952.06335,1,0,8,1,1
20,0,0,891.13141,1,0,12,1,1
19,1,0,761.6507,1,0,12,1,0
18,0,1,714.04755,1,0,12,1,0
19,0,1,714.04755,1,0,12,1,1
18,0,1,609.32056,1,0,9,1,1
20,0,0,952.06335,1,0,12,1,1
22,0,0,1294.8062,0,1,10,1,1
21,0,0,761.6507,1,0,12,1,0
22,0,0,879.70642,0,1,13,1,0
21,0,0,856.85706,1,0,13,1,1
20,0,0,1073.9276,1,0,13,1,0
22,1,0,868.28168,0,1,16,1,1
21,1,0,557.909,1,0,12,1,0
21,1,0,856.85706,0,1,12,1,1
23,0,0,999.66638,1,0,13,0,1
22,0,0,885.41882,0,1,12,0,0
22,0,0,801.63745,0,1,12,0,0
18,0,0,651.2113,1,0,12,1,0
23,1,0,727.37646,0,1,12,1,0
19,1,0,656.92371,1,0,12,1,0
23,1,0,792.11676,0,1,12,1,1
23,1,0,733.08868,1,0,12,1,1
19,1,0,592.18329,1,0,12,1,0
20,0,1,891.13141,1,0,12,1,0
21,0,0,666.44421,1,0,12,1,0
20,0,0,666.44421,1,0,12,1,1
20,0,0,1190.0792,1,0,12,1,0
20,0,0,952.06335,0,1,12,0,0
20,0,0,717.85577,1,0,12,1,1
19,0,0,695.00635,1,0,12,1,0
20,0,0,761.6507,1,0,12,1,1
22,0,0,885.41882,1,0,14,1,1
16,0,0,832.10327,1,0,9,1,0
22,0,0,830.19934,1,0,12,1,1
22,0,0,715.95166,0,1,12,1,0
21,0,0,830.19934,0,1,12,1,0
22,0,0,590.27924,0,1,12,1,0
23,0,0,609.32056,0,1,9,0,0
21,0,0,2475.365,1,0,12,1,1
20,0,0,742.6095,1,0,12,1,1
18,0,0,858.76111,1,0,12,1,0
20,0,0,774.97968,0,1,12,1,0
21,0,1,1708.0018,1,0,12,1,1
21,0,0,952.06335,1,0,11,1,1
21,0,0,906.36407,1,0,12,1,0
19,0,0,714.04755,1,0,12,1,0
23,0,0,1237.6825,1,0,11,1,1
19,0,1,476.03168,1,0,12,1,1
18,0,0,891.13141,1,0,12,1,0
21,1,0,679.77307,1,0,12,1,0
20,0,1,761.6507,1,0,12,1,0
19,0,0,809.25385,1,0,12,1,1
21,0,1,1052.9822,1,0,11,1,1
18,0,0,784.50012,1,0,11,1,0
22,0,1,1142.4761,0,1,9,1,1
22,0,0,714.04755,0,1,12,0,0
17,0,1,590.27924,1,0,12,1,0
21,0,0,1808.9203,1,0,14,1,0
20,0,1,784.50012,1,0,12,1,1
22,1,0,1713.7141,1,0,12,1,1
20,0,1,666.44421,1,0,11,1,1
21,0,0,952.06335,1,0,12,1,1
19,0,1,704.52698,1,0,12,1,1
20,0,0,761.6507,1,0,12,1,1
18,0,0,599.7998,1,0,12,1,1
20,0,0,761.6507,1,0,12,1,0
19,0,0,1142.4761,1,0,12,1,1
19,0,0,773.07556,1,0,12,1,0
18,1,0,714.04755,1,0,11,1,1
18,0,0,773.07556,1,0,12,1,0
22,0,0,1921.2639,0,1,16,1,1
17,0,0,590.27924,1,0,12,1,0
21,0,0,948.25488,1,0,12,1,1
19,0,0,872.08997,1,0,12,1,0
21,0,0,719.75977,1,0,12,1,0
20,0,0,993.95404,1,0,8,1,1
20,0,0,761.6507,1,0,12,1,0
19,0,0,603.60803,1,0,12,1,1
20,0,0,1056.7904,1,0,14,1,1
21,0,0,866.37762,1,0,12,1,1
22,0,0,1176.7501,0,1,15,1,0
21,0,0,999.66638,0,1,12,1,1
20,0,0,988.24182,1,0,12,0,1
22,0,0,519.82654,1,0,16,0,1
